# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
neg,85973.294792,6.402430,2.110520,66.929608,19.512103,-106.464272,34.162384
neg,85944.746502,10.211060,0.981120,72.846923,-18.320175,-106.400162,33.822529
neg,86132.032766,6.143270,2.068699,53.936230,-38.145863,-106.605042,33.644432
neg,86234.904136,10.462880,1.495720,75.938603,-13.381051,-106.366669,33.866898
neg,85946.566939,11.052960,2.002410,81.315629,-21.595311,-106.308411,33.793110
neg,85937.180120,2.887090,2.606410,70.709099,24.182069,-106.423325,34.204334
neg,86190.658167,7.169750,2.187050,66.344560,20.360635,-106.470612,34.170006
neg,86074.566295,15.828660,1.479629,71.276495,-18.200423,-106.417175,33.823605
neg,86203.100328,5.440390,3.196230,0.032940,-0.979637,-107.189026,33.978302
neg,86022.904565,6.287820,1.818151,48.268571,26.314424,-106.666443,34.223488
